ASL,,,,,,,,,,,,,
경기번호,구분,선수명,종족,승/패,MAP,승/패,종족,선수명,,,,,
250,,이재호,T,승,서킷브레이커,패,P,변현제,,,,,
251,,이재호,T,패,아웃사이더 SE,승,P,김재훈,,,,,
252,,조일장,Z,승,카멜롯,패,P,김기훈,,,,,
253,,정윤종,P,패,카멜롯,승,T,최호선,,,,,
254,,조일장,Z,패,서킷브레이커,승,T,최호선,,,,,
255,,정윤종,P,승,서킷브레이커,패,P,김기훈,,,,,
256,,정윤종,P,패,아웃사이더 SE,승,Z,조일장,,,,,
257,,김승현,P,패,카멜롯,승,Z,김경모,,,,,
258,,박지호,P,승,카멜롯,패,P,송병구,,,,,
259,,박지호,P,패,서킷브레이커,승,Z,김경모,,,,,
260,,김승현,P,승,서킷브레이커,패,P,송병구,,,,,
261,,박지호,P,패,아웃사이더 SE,승,P,김승현,,,,,
262,,김성현,T,승,카멜롯,패,Z,고석현,,,,,
263,,진영화,P,패,카멜롯,승,Z,임홍규,,,,,
264,,김성현,T,승,서킷브레이커,패,Z,임홍규,,,,,
265,,진영화,P,패,서킷브레이커,승,Z,고석현,,,,,
266,,고석현,Z,승,아웃사이더 SE,패,Z,임홍규,,,,,
267,"ASL Season 3
16강",이영호,T,승,안드로메다,패,Z,고석현,,,,,
268,,이영한,Z,승,안드로메다,패,Z,김경모,,,,,
269,,이영한,Z,패,카멜롯,승,T,이영호,,,,,
270,,고석현,Z,승,카멜롯,패,Z,김경모,,,,,
271,,이영한,Z,승,서킷브레이커,패,Z,고석현,,,,,
272,,염보성,T,패,안드로메다,승,Z,김정우,,,,,
273,,김택용,P,패,안드로메다,승,Z,김민철,,,,,
274,,김정우,Z,패,카멜롯,승,Z,김민철,,,,,
275,,김택용,P,승,카멜롯,패,T,염보성,,,,,
276,,김택용,P,승,서킷브레이커,패,Z,김정우,,,,,
277,,도재욱,P,패,안드로메다,승,T,윤찬희,,,,,
278,,김승현,P,승,안드로메다,패,P,김재훈,,,,,
279,,김승현,P,패,카멜롯,승,T,윤찬희,,,,,
280,,도재욱,P,승,카멜롯,패,P,김재훈,,,,,
281,,김승현,P,패,서킷브레이커,승,P,도재욱,,,,,
282,,이제동,Z,패,안드로메다,승,T,최호선,,,,,
283,,김성현,T,승,안드로메다,패,Z,조일장,,,,,
284,,김성현,T,패,카멜롯,승,T,최호선,,,,,
285,,이제동,Z,승,카멜롯,패,Z,조일장,,,,,
286,,김성현,T,승,서킷브레이커,패,Z,이제동,,,,,
287,"ASL Season 3
8강",최호선,T,승,아웃사이더 SE,패,P,김택용,,,,,
288,,최호선,T,패,안드로메다,승,P,김택용,,,,,
289,,최호선,T,패,카멜롯,승,P,김택용,,,,,
290,,최호선,T,승,서킷브레이커,패,P,김택용,,,,,
291,,최호선,T,패,아웃사이더 SE,승,P,김택용,,,,,
292,,윤찬희,T,패,서킷브레이커,승,Z,이영한,,,,,
293,,윤찬희,T,패,카멜롯,승,Z,이영한,,,,,
294,,윤찬희,T,승,아웃사이더 SE,패,Z,이영한,,,,,
295,,윤찬희,T,패,안드로메다,승,Z,이영한,,,,,
296,,김민철,Z,승,서킷브레이커,패,P,도재욱,,,,,
297,,김민철,Z,패,아웃사이더 SE,승,P,도재욱,,,,,
298,,김민철,Z,패,카멜롯,승,P,도재욱,,,,,
299,,김민철,Z,승,안드로메다,패,P,도재욱,,,,,
300,,김민철,Z,승,서킷브레이커,패,P,도재욱,,,,,
301,,이영호,T,승,카멜롯,패,T,김성현,,,,,
302,,이영호,T,승,아웃사이더 SE,패,T,김성현,,,,,
303,,이영호,T,승,안드로메다,패,T,김성현,,,,,
304,"ASL Season 3
4강",김택용,P,승,서킷브레이커,패,Z,이영한,,,,,
305,,김택용,P,패,안드로메다,승,Z,이영한,,,,,
306,,김택용,P,패,카멜롯,승,Z,이영한,,,,,
307,,김택용,P,패,아웃사이더 SE,승,Z,이영한,,,,,
308,,김민철,Z,패,서킷브레이커,승,T,이영호,,,,,
309,,김민철,Z,승,카멜롯,패,T,이영호,,,,,
310,,김민철,Z,패,아웃사이더 SE,승,T,이영호,,,,,
311,,김민철,Z,승,안드로메다,패,T,이영호,,,,,
312,,김민철,Z,패,서킷브레이커,승,T,이영호,,,,,
313,"ASL Season 3
3-4위전",김택용,P,승,서킷브레이커,패,Z,김민철,,,,,
