"Winner","Race","Loser","Race","Map","Date","Prize","Double Chance","","","","","","","","","","","","","","","","","","",""
"이영웅","T","변현제","P","Pole Star","2025-05-22","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","이영웅","T","Eclipse","2025-05-22","￦100,000","","","","","","","","","","","","","","","","","","","",""
"이영웅","T","변현제","P","déjà vu","2025-05-22","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"변현제","P","이영웅","T","Dominator","2025-05-22","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","이영웅","T","Radeon","2025-05-22","￦100,000","","","","","","","","","","","","","","","","","","","",""
"이영웅","T","변현제","P","Pole Star","2025-05-22","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","이영웅","T","Eclipse","2025-05-22","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"이영웅","T","변현제","P","déjà vu","2025-05-22","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","이영웅","T","Dominator","2025-05-22","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","김성대","Z","Dominator","2025-06-10","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","Z","김성대","Z","Radeon","2025-06-10","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김성대","Z","변현제","P","Eclipse","2025-06-10","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","김성대","Z","Metropolis","2025-06-10","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김성대","Z","변현제","P","Pole Star","2025-06-10","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","김성대","Z","Eclipse","2025-06-10","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"변현제","P","김성대","Z","Dominator","2025-06-10","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"변현제","P","김성대","Z","Radeon","2025-06-10","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김성대","Z","변현제","P","Pole Star","2025-06-10","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","김지성","T","déjà vu","2025-06-19","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김지성","T","변현제","P","Radeon","2025-06-19","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","김지성","T","Eclipse","2025-06-19","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"김지성","T","변현제","P","Dominator","2025-06-19","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김지성","T","변현제","P","Metropolis","2025-06-19","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","김지성","T","Eclipse","2025-06-19","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","김지성","T","déjà vu","2025-06-19","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","김지성","T","Radeon","2025-06-19","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"김지성","T","변현제","P","Metropolis","2025-06-19","￦100,000","","","","","","","","","","","","","","","","","","","",""
"조일장","Z","변현제","P","Dominator","2025-06-27","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","조일장","Z","Eclipse","2025-06-27","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","조일장","Z","Radeon","2025-06-27","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"조일장","Z","변현제","P","Pole Star","2025-06-27","￦100,000","","","","","","","","","","","","","","","","","","","",""
"조일장","Z","변현제","P","Metropolis","2025-06-27","￦100,000","","","","","","","","","","","","","","","","","","","",""
"조일장","Z","변현제","P","Eclipse","2025-06-27","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","조일장","Z","Metropolis","2025-06-27","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"조일장","Z","변현제","P","Dominator","2025-06-27","￦100,000","","","","","","","","","","","","","","","","","","","",""
"조일장","Z","변현제","P","Pole Star","2025-06-27","￦100,000","","","","","","","","","","","","","","","","","","","",""
"이재호","T","조일장","Z","déjà vu","2025-07-07","￦100,000","","","","","","","","","","","","","","","","","","","",""
"이재호","T","조일장","Z","Radeon","2025-07-07","￦100,000","","","","","","","","","","","","","","","","","","","",""
"이재호","T","조일장","Z","Eclipse","2025-07-07","￦100,000","","","","","","","","","","","","","","","","","","","",""
"이재호","T","조일장","Z","Dominator","2025-07-07","￦100,000","","","","","","","","","","","","","","","","","","","",""
"이재호","T","조일장","Z","Metropolis","2025-07-07","￦100,000","","","","","","","","","","","","","","","","","","","",""
"조일장","Z","이재호","T","Radeon","2025-07-07","￦100,000","","","","","","","","","","","","","","","","","","","",""
"이재호","T","조일장","Z","déjà vu","2025-07-07","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"조일장","Z","이재호","T","Metropolis","2025-07-07","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"조일장","Z","이재호","T","Dominator","2025-07-07","￦100,000","","","","","","","","","","","","","","","","","","","",""
"도재욱","P","이재호","T","Metropolis","2025-07-12","￦100,000","","","","","","","","","","","","","","","","","","","",""
